epoch,SROCC,PLCC,KROCC,RMSE
1,0.5810246316410204,0.6104868156723033,0.42846677132391425,11.760022226827301
epoch,SROCC,PLCC,KROCC,RMSE
2,0.8168636294814686,0.8388643313666204,0.6508634222919939,8.943936239140228
epoch,SROCC,PLCC,KROCC,RMSE
3,0.8635991999298744,0.8890026699827882,0.6844583987441131,9.224247807434017
epoch,SROCC,PLCC,KROCC,RMSE
4,0.8968387667444956,0.9037120401588506,0.7220303506017793,6.584220295549781
epoch,SROCC,PLCC,KROCC,RMSE
5,0.900870992676649,0.9129411417543447,0.7291470434327578,12.995994812678259
epoch,SROCC,PLCC,KROCC,RMSE
6,0.9099968921578785,0.9268027080126362,0.7492412349555208,6.137925822024619
epoch,SROCC,PLCC,KROCC,RMSE
7,0.8909768983735628,0.9148351119406438,0.7185766614338044,10.798146390562229
epoch,SROCC,PLCC,KROCC,RMSE
8,0.926733020424101,0.9169640726637549,0.7655677655677657,11.352427646951814
epoch,SROCC,PLCC,KROCC,RMSE
9,0.9298249248938155,0.9326358288518405,0.7683935112506542,9.231170020062827
epoch,SROCC,PLCC,KROCC,RMSE
10,0.9267888022057711,0.9266438952799801,0.7676609105180535,5.504913752396876
epoch,SROCC,PLCC,KROCC,RMSE
11,0.929268700842305,0.9326327260380427,0.7736263736263738,5.3824728338276975
epoch,SROCC,PLCC,KROCC,RMSE
12,0.9285897568711204,0.9370980729259757,0.773940345368917,6.938476132898362
epoch,SROCC,PLCC,KROCC,RMSE
13,0.9269067408298736,0.9370797705034603,0.7702773417059133,5.907137371292402
epoch,SROCC,PLCC,KROCC,RMSE
14,0.9306855580967257,0.9385702937635927,0.7754055468341184,5.404011817625414
epoch,SROCC,PLCC,KROCC,RMSE
15,0.928988198168764,0.9385311796828837,0.7738356881214026,5.222868227683892
epoch,SROCC,PLCC,KROCC,RMSE
16,0.9278406872315502,0.9386017144162107,0.7711145996860284,5.5503063442286775
epoch,SROCC,PLCC,KROCC,RMSE
17,0.927354588848425,0.9377308338320799,0.7717425431711148,5.691779954623032
epoch,SROCC,PLCC,KROCC,RMSE
18,0.9296894548526168,0.9376612202001681,0.7735217163788594,5.608655383660586
epoch,SROCC,PLCC,KROCC,RMSE
19,0.9308178406075434,0.940517471836301,0.7780219780219781,5.332853755313268
epoch,SROCC,PLCC,KROCC,RMSE
20,0.9313740646590538,0.9403159784390015,0.7788592360020934,5.193374232345756
epoch,SROCC,PLCC,KROCC,RMSE
21,0.9299890827084447,0.9394049425691626,0.7754055468341184,5.229780403208319
epoch,SROCC,PLCC,KROCC,RMSE
22,0.9281642215652369,0.9369624090724895,0.7712192569335428,5.473553232668987
epoch,SROCC,PLCC,KROCC,RMSE
23,0.931879288224466,0.9402494537689056,0.7774986917844062,5.376672034909688
epoch,SROCC,PLCC,KROCC,RMSE
24,0.9279506570296999,0.9384178659782354,0.7717425431711148,5.727695252832873
epoch,SROCC,PLCC,KROCC,RMSE
25,0.9264541115157505,0.9370620784627997,0.7673469387755104,5.314888579761569
epoch,SROCC,PLCC,KROCC,RMSE
26,0.9319366637713267,0.9397707909399182,0.775824175824176,5.269259735343289
epoch,SROCC,PLCC,KROCC,RMSE
27,0.9267935835013429,0.9370439820623022,0.7653584510727369,5.232063207162524
epoch,SROCC,PLCC,KROCC,RMSE
28,0.9325215755962675,0.9409254770589199,0.7781266352694926,5.123959029695247
epoch,SROCC,PLCC,KROCC,RMSE
29,0.9334826160061839,0.9417025466738678,0.7801151229722659,5.259226255374397
epoch,SROCC,PLCC,KROCC,RMSE
30,0.9280239702284663,0.9381437944585933,0.771533228676086,5.2881127241954315
epoch,SROCC,PLCC,KROCC,RMSE
31,0.9324131995633084,0.9416852142615761,0.7789638932496077,5.236617203061312
epoch,SROCC,PLCC,KROCC,RMSE
32,0.9270613360533593,0.9377522473673935,0.769126111983255,5.362870370226725
epoch,SROCC,PLCC,KROCC,RMSE
33,0.925332100821586,0.938429432983428,0.7669283097854528,5.342555039030257
epoch,SROCC,PLCC,KROCC,RMSE
34,0.933122425073114,0.9428153859380453,0.7772893772893774,5.003058915555747
epoch,SROCC,PLCC,KROCC,RMSE
35,0.9332578951143129,0.9441637197310907,0.7791732077446364,4.959086422024628
epoch,SROCC,PLCC,KROCC,RMSE
36,0.9302918980946538,0.9408272210288973,0.774777603349032,5.250816617886044
epoch,SROCC,PLCC,KROCC,RMSE
37,0.9328467036951447,0.9421826299115346,0.7781266352694926,5.185614342624722
epoch,SROCC,PLCC,KROCC,RMSE
38,0.9309947485436971,0.9398291044849922,0.7740450026164313,5.111559750806394
epoch,SROCC,PLCC,KROCC,RMSE
39,0.929324482623975,0.9373111802306489,0.7719518576661435,5.517514279640604
epoch,SROCC,PLCC,KROCC,RMSE
40,0.9264110798556049,0.9366004804860812,0.7661957090528521,5.2993407519083755
epoch,SROCC,PLCC,KROCC,RMSE
41,0.9272191188072261,0.9364448093391253,0.7670329670329672,5.3912833621895535
epoch,SROCC,PLCC,KROCC,RMSE
42,0.9282168158165258,0.9364953959299072,0.7705913134484565,5.469042466291185
epoch,SROCC,PLCC,KROCC,RMSE
43,0.927706810955542,0.9367847613590643,0.7675562532705391,5.276502202801919
epoch,SROCC,PLCC,KROCC,RMSE
44,0.9271617432603656,0.9368440618362626,0.7682888540031398,5.244096130145126
epoch,SROCC,PLCC,KROCC,RMSE
45,0.9286742264262207,0.9377652872458908,0.7711145996860284,5.2652226178494725
epoch,SROCC,PLCC,KROCC,RMSE
46,0.9270613360533593,0.9354081884813137,0.7679748822605966,5.339613675416958
